,<n_e>,<n_e> Err,Blob Size [rhos],Blob Size2 [rhos],Blob Size3 [rhos],Blob size Err [rhos],Blob size2 Err [rhos],Bt,Cs,Efold,EfoldErr,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vBin,vP,vP Err,vP2,vP3,vPExB,vPExB Err,vR,vR Err,vR2,vR3,Z,Mu,Conf
277,3.74143048153e+19,inf,12.4545828368,3.26511277086,3.54717310141,34.4956242571,34.4956242571,-1.42416226864,33029.8465095,0.164734814032,0.305863690245,246.7140625,597.799133301,0.0,0.0,1.0449806485,0.00120909242627,0.000112567015427,53575.0,4.74338407039e-06,2.03417957444e-07,,,832.27987942,3043.20175888,228.775067516,248.863172894,0.0809947496572,3163.28410847,4561.7801596,904.177281602,2503.08894203,794.202064254,-15.6995797545,1,2,LSN
278,3.74314352064e+19,inf,18.3011145051,3.48464556301,12.3121437766,28.448551066,28.448551066,-1.42417657375,33040.3999109,0.159230222402,0.227035205067,246.715078125,597.27911377,0.0,0.0,1.05936164763,0.00121437279473,0.000140472122387,53575.0,8.47389276818e-06,1.72131926711e-07,,,499.376011326,1940.43875217,199.925712327,149.322738036,0.127019618437,5784.23695598,7375.29075487,1764.42313082,2736.47859433,476.528194962,-15.6989698999,1,2,LSN
279,7.13311818898e+19,inf,9.66550273562,1.83502469602,6.260681089,18.737665452,18.737665452,-1.42562127113,54683.9153255,0.0128923535171,0.00108880904395,250.314828125,902.31652832,0.0,0.0,1.00073578568,0.00196578230166,0.000121756080159,53575.0,6.74162296919e-06,4.60215409132e-07,,,535.072798794,-2147.20745585,292.197924374,-160.004790909,-0.114789511303,5947.19904294,8786.35492683,1825.5449931,3528.09429325,510.589234998,-15.6991629679,1,2,LSN
280,7.10844382864e+19,inf,45.0296622578,9.19633964274,24.2709034681,78.3377987896,78.3377987896,-1.42562115192,42197.3732969,0.0100786357797,0.000529551799563,250.32065625,899.779724121,0.0,0.0,1.01490895377,0.00152446135868,8.64620550165e-05,53575.0,1.68432830053e-05,1.01674925505e-07,,,832.347495569,-3432.88105596,1121.07188165,-248.903536682,-0.0718011816678,8080.70758257,9972.47112341,2196.72461989,3753.6675675,794.26027397,-15.6996739117,1,2,LSN
281,7.08675970012e+19,inf,33.8691109493,0.386294170079,9.78348023982,76.7660708648,76.7660708648,-1.4256298542,38166.1512993,0.00900976178538,0.000149430375983,250.3099375,895.793029785,0.0,0.0,1.02748956561,0.00138530022314,0.000146801032871,53575.0,1.17159432785e-05,8.4981406422e-07,,,45.6756564354,3833.98729668,3681.2387988,13.6581741871,0.064289711872,5263.37293575,6784.52776763,1156.80462223,2373.58905303,43.5857759903,-15.6997390251,1,2,LSN
282,7.06688184931e+19,inf,39.3295206441,6.7033251425,20.1486406334,67.0847048502,67.0847048502,-1.42563414574,33822.8541089,0.00940813318322,0.000540619744667,250.313765625,896.617126465,0.0,0.0,1.04032409664,0.00123309936733,4.48167689048e-05,53575.0,1.21385221545e-05,6.93162734306e-09,,,680.961478429,3431.19413652,1155.44992446,203.618380393,0.0718364806727,4261.13333611,5644.37670575,2046.81226316,3422.55051589,649.806194393,-15.6996735887,1,2,LSN
283,7.05036718466e+19,inf,60.2383752682,11.4228640947,43.8149280391,97.5666733213,97.5666733213,-1.42563569546,31909.0053282,0.0167535237653,0.00532200233174,250.31084375,897.595275879,0.0,0.0,1.05397890679,0.00116879791995,2.74576451174e-05,53575.0,3.03000298149e-05,4.84368500334e-06,,,440.627282393,1594.61730177,201.68586518,131.756149125,0.154561335854,4182.88923715,5862.56271191,1690.12363531,2715.68747172,420.467262884,-15.6984805358,1,2,LSN
284,5.44489680957e+19,inf,47.4778587414,1.86068154975,30.256154826,115.56462208,115.56462208,-1.42490208149,29557.9242684,,,243.8446875,1955.26281738,0.229389292831,0.0018917470018,1.0086969135,0.00105487239787,,53579.0,1.36253841434e-05,7.40448731693e-07,,,144.053304288,2832.66214368,1852.77666403,43.0753680218,0.0870144364607,7322.15340452,11105.5123891,2342.42075185,5490.44013225,137.462238982,-15.6995200119,1,2,LSN
285,5.44929265705e+19,inf,10.3799874879,2.72555545697,3.63477129731,27.8117181776,27.8117181776,-1.42488789558,41679.7105739,,,243.815015625,1978.81103516,0.31715849422,0.0559486734077,1.01824695064,0.00149323591426,,53579.0,5.43337472017e-06,1.22105526211e-06,,,749.055146065,2672.0803895,236.180770412,223.978735191,0.0922433186162,1975.4579412,3838.62260978,998.931842113,2665.60432166,714.784679487,-15.6994603062,1,2,LSN
286,5.45306310233e+19,inf,16.6511588291,3.79867252323,10.2438364318,32.4891129885,32.4891129885,-1.42486321926,37393.9288627,,,243.796640625,1989.79003906,0.751343876731,0.243109698976,1.03417817758,0.00134859531823,,53579.0,1.02585433368e-05,1.10587409441e-06,,,499.376160156,1725.71858489,208.291860988,149.32278254,0.142821474114,3989.1703318,6230.14201527,1346.66193059,2618.50272067,476.528336982,-15.6987029472,1,2,LSN
