,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
10,8.02404498429e+19,inf,18.390614393,23.3443266259,56520.5743359,240787.65625,1016.52606201,2.56233494565,2.15880964623,1.0065305402,0.00202004971089,0.000214038305982,57425.0,6.09029844271e-06,3.29457180182e-07,,,3976.30851226,737.495363263,5536.24787634,6763.66743161,2560.90341277,3212.83756212,1,2,LSN
11,7.99454552712e+19,inf,40.4486453262,66.9437901076,46895.031074,240791.765625,1022.73681641,9.85831998534,2.44474241734,1.02016749434,0.001684472088,0.000123263856345,57425.0,8.96952097411e-06,2.06482536715e-06,,,2498.74841737,616.771562401,7449.66620235,9743.60162995,1485.0258622,2406.11294425,1,2,LSN
12,7.96646751859e+19,inf,39.1833970869,,38675.8077159,240799.53125,1022.8895874,6.79871192243,0.928065446965,1.03384411569,0.00139843949702,5.1790561124e-05,57425.0,1.45708687317e-05,7.52228268184e-07,,,inf,,3614.40843016,4998.8424335,1038.4464996,1477.21023972,1,2,LSN
13,7.9397177201e+19,inf,74.6402082073,,35908.3200668,240809.328125,1023.56414795,6.07215161853,0.767886775933,1.04737533981,0.00130355164205,4.48752461466e-05,57425.0,2.91902085004e-05,2.9372511632e-07,,,inf,,3069.40773516,4311.69065873,1299.64878795,1638.08762612,1,2,LSN
14,7.91538156953e+19,inf,22.7202693621,34.3565974493,33429.4933283,240819.03125,1021.02478027,4.35674496871,1.47126338147,1.06108343269,0.00121860134426,0.0,57425.0,1.13535362009e-05,4.62449962582e-07,,,-10020.2974509,4090.76930427,2212.88991564,3118.24272263,1024.68608577,1491.36390755,1,2,LSN
15,2.35794226818e+19,inf,89.4138425933,131.871464707,61551.2161388,186330.8125,518.230773926,0.230205383325,0.0761826453276,1.0064943899,0.00221654007302,0.0,57437.0,7.27067827295e-06,8.94479747194e-07,,,6197.73953445,2898.08126631,27029.3015086,31898.3987179,3529.09911498,4917.21026353,1,2,LSN
16,2.35366648737e+19,inf,46.8181948817,,51747.7108924,186328.15625,516.606262207,0.643894206804,0.159476592184,1.02249800796,0.00187540981194,0.000158002356604,57437.0,7.20801848373e-06,2.28051756039e-07,,,inf,,12062.8000346,14670.461421,1695.23620074,2436.36315191,1,2,LSN
17,2.34901533328e+19,inf,23.8358399272,31.3971935588,40029.9663498,186328.8125,516.296386719,0.899104003935,0.0194323654359,1.03677688126,0.00145647281559,2.66209209877e-05,57437.0,6.0828604501e-06,2.62712641699e-07,,,-4771.57021472,337.400965573,5330.0212643,8117.43602111,2040.41414465,2682.36451385,1,2,LSN
18,2.34381244426e+19,inf,33.857792143,49.3927862499,37126.4049382,186328.796875,514.965454102,0.843981554544,0.100052994828,1.04906173915,0.00135565798806,2.11080959324e-05,57437.0,8.18690036137e-06,1.01145218807e-06,,,-6560.90904524,1106.24304489,5424.50496249,7398.24969119,1416.76309935,2045.49085428,1,2,LSN
19,2.33813918416e+19,inf,11.9614506242,15.3443186681,33529.2215183,186333.8125,506.476226807,,,1.06437101404,0.00122959486056,8.898874279e-05,57437.0,4.02866445372e-06,3.62218859042e-07,,,-3265.87472474,532.660459887,3286.10318967,4366.15173589,1590.49273723,2018.69003699,1,2,LSN
20,7.78380961011e+19,inf,15.5177945804,21.2190803034,59863.0163445,124928.296875,87157.0234375,4.24705874054,0.876961962161,1.00712215366,0.00214612928178,0.000148700442076,57437.0,8.53993677341e-06,6.6616756595e-07,,,2994.36958913,287.191118353,3542.96430932,4526.68355521,1629.43724341,2218.97255508,1,2,LSN
21,7.76494111096e+19,inf,35.6745459083,44.6752401555,49183.5394703,127288.101562,86299.6640625,8.45187382289,5.69879173534,1.02092607302,0.00177069189184,0.000102211644466,57437.0,1.77340263393e-05,6.01527210528e-07,,,1953.96203005,256.340474726,3269.09211579,4336.2993403,1414.52880176,1761.01414582,1,2,LSN
22,7.74391668942e+19,inf,63.0200223265,,39495.3755745,129523.835938,85419.5859375,8.22811389381,1.51214970014,1.03373678635,0.00142748393011,9.52378064514e-06,57437.0,2.64701193056e-05,2.19335884636e-06,,,inf,,3190.4185262,4066.1861637,1171.06077204,1567.14977037,1,2,LSN
23,7.72251051744e+19,inf,21.5395792482,,36275.1665821,131910.953125,84407.2421875,8.29786848899,3.01572277106,1.04737354719,0.00131802809431,9.09061733522e-06,57437.0,1.54743084241e-05,1.76551686619e-07,,,inf,,1696.6783121,2604.4811327,697.985077559,1057.06587644,1,2,LSN
